Month,0.0125,0.01434,0.016404,0.018694,0.021206,0.02393,0.026849,0.030074,0.033623,0.037515,0.041764,0.046384,0.051386,0.05678,0.06257,0.06876,0.075347,0.082325,0.089684,0.097408,0.105909,0.115273,0.125596,0.136986,0.149561,0.163458,0.178827,0.195837,0.214679,0.235567,0.258743,0.283548,0.310015,0.338169,0.368022,0.399577,0.432822,0.467732,0.504269,0.542379,0.581991,0.623018,0.663901,0.704243,0.743627,0.781631,0.817824,0.851783,0.883096,0.911374,0.936255,0.957414,0.974571,0.987495,0.99601
1,29473.23,28470.52,27475.11,26496.19,25675.71,24887.32,24132.11,23384.86,22648.27,21925.59,21229.35,20547.61,19881.28,19230.95,18614.25,18052.88,17509.34,16983.83,16459.98,15948.88,15431.19,14906.84,14355.76,13786.21,13209.10,12624.22,12014.26,11335.66,10649.00,9961.27,9287.72,8630.52,8064.23,7513.05,7021.37,6535.58,6055.10,5583.44,5116.80,4652.98,4180.60,3712.13,3258.35,2822.87,2412.24,2023.38,1664.92,1336.52,1040.43,778.24,553.26,365.87,216.69,105.50,33.42
1.1,10.00,11.48,13.15,15.01,17.05,19.28,21.68,24.34,27.27,30.50,34.04,37.90,42.10,46.64,51.54,56.79,62.41,68.38,74.71,81.38,88.75,96.90,105.93,115.95,127.07,139.43,153.18,168.49,185.57,204.63,225.95,248.94,273.66,300.18,328.53,358.74,390.85,424.85,460.74,498.49,538.08,579.44,621.00,662.34,703.01,742.55,780.45,816.24,849.43,879.55,906.18,928.90,947.39,961.35,970.56
2,30168.77,29032.00,27895.82,26770.79,25885.83,25031.91,24234.86,23455.28,22685.26,21931.29,21221.48,20525.85,19845.36,19180.65,18551.03,17980.62,17427.99,16893.39,16365.01,15850.92,15330.11,14802.49,14249.96,13679.87,13102.18,12516.70,11908.09,11236.55,10557.04,9878.82,9222.97,8582.62,8033.20,7497.89,7018.63,6544.09,6073.59,5606.89,5143.00,4681.18,4208.36,3738.81,3283.23,2845.22,2432.04,2039.86,1678.39,1347.34,1048.83,784.82,558.13,369.23,218.71,106.46,33.71
2.2,10.00,11.48,13.15,15.01,17.05,19.28,21.68,24.34,27.27,30.50,34.04,37.90,42.09,46.64,51.53,56.78,62.40,68.37,74.69,81.36,88.73,96.88,105.91,115.92,127.03,139.39,153.13,168.43,185.50,204.55,225.85,248.82,273.53,300.03,328.35,358.54,390.62,424.59,460.44,498.17,537.71,579.02,620.54,661.84,702.46,741.95,779.81,815.56,848.70,878.79,905.38,928.08,946.54,960.48,969.68
3,29967.17,28980.65,28003.71,27044.86,26115.60,25216.84,24386.94,23578.97,22779.72,21999.68,21286.69,20587.91,19904.31,19236.51,18603.58,18029.52,17473.30,16935.17,16403.44,15886.09,15361.93,14830.89,14275.02,13701.50,13120.32,12531.31,11919.38,11244.39,10561.42,9882.22,9234.32,8601.45,8052.41,7517.31,7035.79,6559.26,6086.87,5618.62,5153.35,4690.21,4216.49,3745.95,3289.80,2851.28,2437.67,2045.56,1683.84,1352.64,1053.86,789.44,561.97,372.15,220.65,107.60,34.11
3.3,10.00,11.48,13.15,15.01,17.05,19.28,21.68,24.33,27.27,30.50,34.03,37.89,42.09,46.63,51.52,56.78,62.39,68.36,74.68,81.34,88.71,96.86,105.88,115.89,127.00,139.35,153.08,168.38,185.43,204.48,225.76,248.72,273.42,299.89,328.20,358.36,390.42,424.36,460.18,497.87,537.38,578.65,620.13,661.39,701.97,741.42,779.24,814.94,848.05,878.10,904.66,927.33,945.77,959.69,968.88
4,30746.23,29713.27,28688.64,27681.29,26703.72,25756.61,24882.70,24031.31,23187.68,22365.63,21626.75,20901.93,20192.19,19498.24,18840.63,18243.74,17664.89,17104.39,16553.40,16018.32,15475.93,14926.19,14353.96,13765.86,13169.81,12565.69,11939.69,11260.14,10572.57,9895.82,9267.37,8652.74,8124.82,7608.12,7128.50,6653.00,6180.86,5707.63,5235.70,4765.82,4283.97,3806.00,3342.30,2897.32,2476.99,2078.98,1711.68,1375.42,1072.36,804.31,573.22,380.00,225.50,110.35,35.10
4.4,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.91,42.11,46.66,51.56,56.82,62.45,68.43,74.76,81.44,88.82,96.98,106.03,116.06,127.20,139.58,153.35,168.70,185.81,204.91,226.27,249.32,274.11,300.69,329.12,359.42,391.62,425.72,461.73,499.61,539.33,580.84,622.55,664.05,704.88,744.57,782.63,818.57,851.90,882.15,908.89,931.72,950.29,964.31,973.56
5,31820.10,30685.91,29556.23,28441.23,27431.89,26453.73,25538.11,24639.07,23747.01,22879.48,22115.68,21366.07,20631.73,19913.40,19230.50,18606.14,18000.20,17413.05,16837.11,16278.03,15711.04,15136.11,14540.04,13928.59,13308.79,12680.56,12036.42,11358.81,10673.11,9999.52,9378.90,8771.41,8245.20,7729.53,7249.01,6771.99,6297.64,5817.72,5337.63,4859.48,4367.18,3878.97,3405.81,2952.00,2523.62,2118.95,1745.24,1403.11,1094.60,821.41,585.68,388.42,230.58,112.88,35.91
5.5,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.91,42.11,46.66,51.56,56.82,62.44,68.42,74.75,81.43,88.81,96.97,106.02,116.05,127.18,139.56,153.33,168.67,185.77,204.87,226.23,249.27,274.04,300.62,329.03,359.32,391.51,425.60,461.59,499.45,539.16,580.64,622.33,663.81,704.62,744.29,782.33,818.25,851.56,881.79,908.52,931.33,949.89,963.90,973.15
6,32389.95,31208.52,30030.09,28865.23,27828.93,26824.01,25875.22,24939.15,24009.17,23104.99,22316.91,21542.77,20783.71,20040.53,19337.03,18702.31,18086.12,17488.87,16911.51,16353.99,15788.66,15215.49,14621.94,14013.31,13396.41,12771.15,12128.03,11443.63,10751.10,10073.29,9459.52,8858.30,8347.18,7845.67,7368.88,6894.52,6421.68,5935.99,5447.42,4960.63,4458.00,3959.29,3476.12,3012.47,2575.09,2161.87,1780.35,1431.39,1116.84,838.20,597.70,396.35,235.25,115.14,36.63
