Month,0.0125,0.01434,0.016404,0.018694,0.021206,0.02393,0.026849,0.030074,0.033623,0.037515,0.041764,0.046384,0.051386,0.05678,0.06257,0.06876,0.075347,0.082325,0.089684,0.097408,0.105909,0.115273,0.125596,0.136986,0.149561,0.163458,0.178827,0.195837,0.214679,0.235567,0.258743,0.283548,0.310015,0.338169,0.368022,0.399577,0.432822,0.467732,0.504269,0.542379,0.581991,0.623018,0.663901,0.704243,0.743627,0.781631,0.817824,0.851783,0.883096,0.911374,0.936255,0.957414,0.974571,0.987495,0.99601
1,29615.99,28549.42,27486.47,26436.98,25579.83,24753.73,23974.46,23208.40,22451.99,21711.84,21016.44,20335.24,19669.17,19018.83,18403.09,17845.04,17304.61,16782.02,16260.40,15751.22,15235.39,14712.85,14154.81,13573.37,12984.08,12386.82,11767.75,11092.61,10409.59,9738.49,9122.25,8519.51,8001.26,7494.37,7022.11,6553.88,6088.95,5622.23,5156.53,4692.98,4217.97,3746.61,3289.24,2849.88,2435.40,2042.25,1680.02,1348.14,1049.05,784.32,557.35,368.43,218.14,106.59,33.87
1.1,10.00,11.48,13.15,15.01,17.06,19.28,21.68,24.34,27.27,30.50,34.04,37.90,42.10,46.65,51.54,56.80,62.42,68.39,74.72,81.39,88.76,96.92,105.95,115.97,127.10,139.46,153.21,168.53,185.62,204.69,226.01,249.01,273.75,300.28,328.65,358.88,391.00,425.02,460.94,498.72,538.34,579.72,621.31,662.69,703.40,742.96,780.90,816.72,849.94,880.09,906.73,929.48,947.98,961.95,971.18
2,29862.61,28886.71,27920.59,26973.05,26125.17,25309.58,24522.82,23741.13,22969.35,22212.48,21490.76,20783.29,20091.06,19414.71,18773.52,18190.12,17624.70,17077.52,16535.81,16008.59,15474.30,14932.88,14359.13,13764.23,13161.24,12550.07,11916.74,11229.74,10534.73,9849.90,9210.55,8585.78,8051.98,7530.22,7051.02,6576.36,6105.53,5635.25,5167.03,4701.21,4223.75,3750.64,3291.51,2851.17,2435.65,2042.43,1680.14,1348.10,1048.98,784.53,557.67,368.82,218.46,106.79,33.94
2.2,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.92,42.12,46.67,51.57,56.83,62.45,68.44,74.77,81.45,88.83,97.00,106.05,116.08,127.23,139.61,153.39,168.74,185.86,204.97,226.34,249.40,274.20,300.80,329.24,359.56,391.77,425.90,461.93,499.84,539.59,581.12,622.87,664.40,705.26,744.99,783.08,819.05,852.40,882.68,909.45,932.29,950.88,964.91,974.18
3,30389.14,29336.54,28290.14,27259.52,26361.15,25494.37,24673.07,23863.31,23062.60,22280.70,21560.02,20853.70,20162.74,19487.77,18845.85,18256.92,17686.02,17133.45,16586.32,16053.77,15514.00,14966.97,14392.96,13800.71,13200.44,12592.02,11959.58,11267.58,10567.54,9879.31,9241.09,8617.31,8082.70,7560.00,7079.57,6603.62,6131.45,5660.55,5191.77,4725.16,4245.98,3771.04,3310.13,2868.04,2450.70,2055.78,1691.70,1357.96,1057.23,791.35,563.00,372.71,220.96,108.07,34.36
3.3,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.92,42.12,46.67,51.57,56.83,62.46,68.44,74.77,81.45,88.83,97.00,106.05,116.09,127.23,139.62,153.40,168.75,185.87,204.99,226.36,249.42,274.23,300.83,329.28,359.60,391.83,425.96,462.00,499.92,539.68,581.22,622.98,664.52,705.40,745.13,783.23,819.21,852.58,882.87,909.64,932.50,951.09,965.12,974.39
4,30920.31,29845.50,28776.87,27723.97,26765.70,25838.50,24970.77,24119.59,23276.36,22454.95,21718.10,20995.50,20288.17,19596.80,18940.37,18341.93,17761.63,17199.79,16644.04,16103.07,15554.65,14998.76,14417.15,13817.56,13209.83,12593.86,11957.13,11269.14,10573.14,9887.79,9252.74,8631.93,8103.55,7587.12,7111.11,6638.99,6169.96,5698.69,5228.17,4759.60,4278.75,3801.47,3338.64,2894.23,2474.69,2077.87,1711.41,1375.82,1073.15,804.97,573.73,380.34,225.70,110.47,35.14
4.4,10.00,11.48,13.15,15.01,17.06,19.28,21.68,24.34,27.27,30.50,34.04,37.91,42.10,46.65,51.55,56.81,62.42,68.40,74.73,81.40,88.77,96.93,105.97,116.00,127.12,139.49,153.25,168.57,185.66,204.74,226.08,249.09,273.84,300.38,328.76,359.01,391.15,425.19,461.13,498.93,538.57,579.99,621.61,663.01,703.75,743.35,781.31,817.16,850.40,880.58,907.25,930.01,948.53,962.51,971.74
5,31785.15,30680.26,29581.62,28499.02,27494.57,26521.53,25609.42,24713.34,23824.46,22958.72,22187.28,21429.94,20687.82,19961.66,19272.94,18646.98,18039.47,17450.79,16873.62,16313.45,15745.36,15169.32,14571.76,13958.68,13337.21,12707.30,12057.30,11360.70,10656.00,9968.71,9349.02,8742.47,8230.65,7728.37,7253.30,6781.19,6311.17,5832.25,5352.13,4873.76,4380.37,3891.10,3416.57,2961.37,2531.58,2125.56,1750.62,1407.50,1098.18,824.20,587.68,389.68,231.27,113.19,36.00
5.5,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.92,42.12,46.66,51.57,56.83,62.45,68.43,74.77,81.44,88.82,96.99,106.04,116.07,127.21,139.60,153.37,168.72,185.83,204.95,226.31,249.36,274.16,300.75,329.18,359.49,391.70,425.82,461.84,499.74,539.48,581.00,622.73,664.24,705.09,744.80,782.88,818.84,852.18,882.45,909.20,932.04,950.62,964.65,973.90
6,32375.84,31203.55,30034.66,28879.65,27830.94,26813.26,25859.82,24922.56,23991.27,23087.00,22304.40,21535.82,20782.37,20044.86,19346.86,18716.12,18103.90,17510.60,16936.31,16381.51,15819.00,15248.73,14656.74,14049.22,13433.45,12809.32,12164.20,11469.81,10767.24,10081.78,9462.33,8855.74,8348.82,7850.50,7374.99,6901.77,6429.91,5943.75,5454.86,4967.70,4464.18,3965.05,3481.00,3016.84,2578.69,2165.09,1783.16,1433.81,1118.92,839.95,599.03,397.26,235.78,115.40,36.71
6.6,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.92,42.12,46.67,51.57,56.83,62.46,68.44,74.77,81.45,88.83,97.00,106.05,116.09,127.23,139.62,153.40,168.75,185.87,204.99,226.36,249.42,274.23,300.83,329.28,359.60,391.83,425.96,462.00,499.92,539.68,581.22,622.97,664.52,705.39,745.13,783.23,819.21,852.58,882.86,909.64,932.49,951.08,965.12,974.39
7,32442.30,31261.80,30084.39,28920.71,27883.27,26877.27,25925.05,24984.33,24049.59,23140.43,22345.83,21565.04,20799.22,20049.21,19339.69,18700.32,18079.48,17477.59,16901.84,16347.99,15786.44,15217.14,14643.06,14062.79,13474.80,12878.89,12263.09,11599.42,10927.47,10258.59,9616.03,8987.28,8466.75,7956.31,7475.48,6996.86,6519.48,6026.22,5529.52,5034.74,4524.08,4017.71,3527.30,3057.10,2613.35,2194.28,1807.28,1453.09,1133.75,850.76,606.54,402.11,238.60,116.77,37.14
