Month,0.0125,0.01434,0.016404,0.018694,0.021206,0.02393,0.026849,0.030074,0.033623,0.037515,0.041764,0.046384,0.051386,0.05678,0.06257,0.06876,0.075347,0.082325,0.089684,0.097408,0.105909,0.115273,0.125596,0.136986,0.149561,0.163458,0.178827,0.195837,0.214679,0.235567,0.258743,0.283548,0.310015,0.338169,0.368022,0.399577,0.432822,0.467732,0.504269,0.542379,0.581991,0.623018,0.663901,0.704243,0.743627,0.781631,0.817824,0.851783,0.883096,0.911374,0.936255,0.957414,0.974571,0.987495,0.99601
1,29352.37,28482.69,27628.62,26797.31,25869.42,24971.66,24170.92,23406.43,22652.05,21917.50,21248.41,20594.52,19956.66,19335.32,18730.80,18142.80,17572.78,17021.03,16471.51,15934.77,15390.66,14839.14,14263.84,13670.71,13069.58,12460.34,11831.68,11148.26,10456.97,9776.02,9156.50,8550.61,8023.55,7510.54,7036.21,6567.04,6101.15,5635.10,5170.10,4706.95,4233.12,3761.57,3304.81,2864.86,2450.06,2056.75,1693.55,1361.01,1060.46,794.53,565.62,374.62,222.19,108.64,34.51
1.1,10.00,11.48,13.15,15.01,17.05,19.28,21.67,24.33,27.26,30.48,34.02,37.87,42.06,46.60,51.48,56.73,62.33,68.29,74.60,81.25,88.60,96.73,105.73,115.72,126.80,139.11,152.80,168.05,185.06,204.04,225.25,248.12,272.72,299.08,327.27,357.30,389.20,422.97,458.62,496.11,535.40,576.44,617.68,658.68,699.02,738.22,775.79,811.26,844.15,874.00,900.37,922.88,941.19,955.02,964.14
2,29953.77,28976.06,28008.52,27059.64,26153.85,25279.20,24489.87,23731.86,22984.73,22256.44,21583.10,20925.32,20283.92,19659.39,19047.36,18441.32,17853.56,17284.40,16721.66,16173.68,15618.10,15054.89,14468.50,13864.96,13253.24,12633.25,11990.82,11285.63,10572.47,9870.03,9225.46,8595.76,8057.24,7533.11,7054.43,6580.77,6110.78,5641.95,5174.96,4710.06,4234.80,3762.42,3304.75,2864.52,2449.43,2056.15,1693.12,1360.69,1060.57,794.81,565.98,374.94,222.38,108.64,34.49
2.2,10.00,11.48,13.15,15.01,17.05,19.28,21.68,24.33,27.26,30.49,34.03,37.88,42.08,46.62,51.51,56.76,62.37,68.33,74.65,81.30,88.66,96.80,105.82,115.82,126.92,139.25,152.97,168.25,185.28,204.30,225.55,248.48,273.13,299.56,327.82,357.93,389.92,423.79,459.55,497.15,536.58,577.76,619.13,660.29,700.77,740.12,777.84,813.45,846.46,876.43,902.92,925.52,943.91,957.79,966.96
3,29858.84,28904.10,27960.41,27035.51,26011.86,25016.19,24185.98,23421.71,22667.45,21936.02,21283.78,20647.09,20026.73,19423.12,18833.01,18251.89,17688.80,17143.98,16599.69,16068.39,15529.93,14984.25,14410.32,13817.66,13216.97,12608.12,11975.75,11286.72,10589.63,9909.73,9293.87,8691.05,8174.66,7667.83,7190.75,6717.18,6246.33,5768.19,5289.92,4813.80,4324.56,3839.89,3369.76,2919.24,2493.96,2091.86,1721.22,1381.86,1076.28,806.43,574.25,380.45,225.68,110.43,35.10
3.3,10.00,11.48,13.15,15.01,17.06,19.29,21.69,24.34,27.28,30.51,34.06,37.92,42.13,46.68,51.58,56.84,62.47,68.46,74.79,81.47,88.86,97.03,106.09,116.13,127.28,139.68,153.47,168.83,185.96,205.10,226.49,249.57,274.40,301.03,329.50,359.86,392.12,426.29,462.37,500.34,540.15,581.75,623.57,665.17,706.11,745.90,784.06,820.10,853.52,883.86,910.67,933.56,952.19,966.25,975.53
4,30483.69,29519.27,28566.84,27634.15,26578.15,25550.53,24688.79,23892.60,23106.03,22342.15,21659.19,20991.61,20340.28,19705.70,19087.01,18482.51,17896.29,17328.66,16763.64,16212.50,15653.65,15087.07,14499.23,13896.09,13284.74,12665.09,12024.07,11331.92,10631.69,9949.61,9337.25,8737.64,8225.78,7723.24,7246.02,6772.00,6300.34,5819.46,5337.59,4857.93,4364.21,3875.00,3400.84,2946.33,2517.47,2112.17,1738.39,1396.37,1088.30,816.04,581.50,385.52,228.82,112.02,35.64
4.4,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.92,42.12,46.66,51.57,56.83,62.45,68.43,74.77,81.44,88.82,96.99,106.04,116.07,127.21,139.60,153.37,168.72,185.83,204.95,226.31,249.36,274.16,300.75,329.18,359.49,391.70,425.82,461.84,499.74,539.48,581.00,622.73,664.24,705.09,744.80,782.88,818.84,852.18,882.45,909.20,932.04,950.62,964.64,973.90
5,31359.38,30270.79,29188.56,28121.91,27039.96,25986.75,25092.34,24259.50,23435.53,22635.21,21925.59,21231.15,20552.80,19891.12,19249.12,18629.88,18029.07,17447.06,16872.64,16313.80,15747.10,15172.48,14578.25,13969.38,13352.23,12726.71,12084.96,11407.97,10722.85,10052.93,9447.49,8854.15,8340.70,7836.48,7354.53,6875.60,6398.81,5910.46,5420.17,4932.28,4430.15,3932.51,3451.03,2989.65,2554.66,2144.22,1765.43,1419.02,1106.88,830.59,592.22,392.79,233.20,114.19,36.33
5.5,10.00,11.48,13.15,15.01,17.06,19.28,21.68,24.34,27.27,30.50,34.04,37.91,42.11,46.65,51.55,56.81,62.43,68.40,74.73,81.41,88.78,96.94,105.98,116.01,127.13,139.50,153.26,168.59,185.68,204.77,226.11,249.12,273.88,300.43,328.81,359.07,391.22,425.27,461.21,499.03,538.69,580.11,621.75,663.17,703.92,743.53,781.51,817.37,850.63,880.81,907.49,930.27,948.79,962.78,972.01
6,31950.35,30788.16,29629.06,28483.15,27378.25,26302.24,25383.18,24524.10,23673.32,22847.71,22123.67,21414.75,20721.90,20045.73,19392.59,18769.58,18165.14,17579.64,17009.60,16457.84,15898.52,15331.58,14744.52,14142.73,13532.82,12914.66,12277.47,11595.95,10906.17,10228.29,9603.72,8991.97,8480.08,7977.17,7494.60,7014.30,6535.29,6039.49,5540.14,5042.97,4530.34,4022.25,3530.29,3058.77,2614.01,2194.14,1806.62,1452.24,1132.91,850.17,606.16,401.94,238.55,116.77,37.14
6.6,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.91,42.11,46.66,51.56,56.82,62.44,68.42,74.75,81.42,88.80,96.96,106.00,116.03,127.17,139.54,153.31,168.64,185.75,204.84,226.19,249.22,273.99,300.56,328.97,359.25,391.42,425.50,461.47,499.33,539.01,580.48,622.16,663.62,704.41,744.06,782.08,817.98,851.27,881.49,908.20,931.00,949.55,963.56,972.80
7,32026.82,30859.55,29695.29,28544.19,27444.76,26374.49,25456.73,24597.10,23745.89,22918.66,22186.12,21468.60,20767.08,20082.19,19420.01,18787.44,18173.47,17578.50,17012.74,16469.88,15919.75,15362.27,14787.61,14199.85,13604.26,13000.65,12375.19,11694.33,11005.14,10331.58,9724.86,9129.67,8624.13,8126.41,7634.83,7145.55,6657.59,6150.67,5639.53,5131.03,4608.27,4090.24,3589.67,3110.34,2658.31,2231.65,1837.76,1477.33,1152.40,864.63,616.38,408.65,242.49,118.66,37.74
7.7,10.00,11.48,13.15,15.01,17.06,19.28,21.68,24.34,27.27,30.50,34.04,37.91,42.10,46.65,51.55,56.81,62.42,68.40,74.73,81.40,88.77,96.93,105.97,115.99,127.12,139.49,153.25,168.57,185.66,204.74,226.07,249.09,273.83,300.38,328.76,359.00,391.14,425.18,461.12,498.93,538.57,579.98,621.60,663.00,703.74,743.33,781.30,817.15,850.39,880.56,907.23,930.00,948.51,962.50,971.73
8,31606.98,30478.88,29355.22,28245.74,27161.21,26105.60,25205.70,24365.83,23534.74,22727.49,22012.31,21312.31,20628.40,19961.19,19313.25,18687.12,18079.49,17490.74,16925.46,16381.09,15829.34,15270.15,14702.37,14126.38,13542.76,12951.30,12331.59,11634.94,10930.00,10250.54,9667.57,9094.91,8604.96,8121.19,7632.02,7144.95,6658.96,6152.65,5641.76,5133.43,4610.58,4092.49,3591.75,3112.25,2659.99,2233.10,1838.98,1478.15,1152.79,864.71,616.32,408.60,242.49,118.70,37.76
8.8,10.00,11.48,13.15,15.01,17.06,19.28,21.68,24.34,27.27,30.50,34.04,37.91,42.11,46.65,51.55,56.81,62.43,68.41,74.74,81.41,88.78,96.94,105.98,116.01,127.14,139.51,153.27,168.60,185.70,204.78,226.12,249.14,273.90,300.45,328.84,359.10,391.26,425.31,461.27,499.09,538.75,580.19,621.83,663.26,704.02,743.63,781.62,817.49,850.75,880.95,907.63,930.41,948.94,962.94,972.17
