Month,0.0125,0.01434,0.016404,0.018694,0.021206,0.02393,0.026849,0.030074,0.033623,0.037515,0.041764,0.046384,0.051386,0.05678,0.06257,0.06876,0.075347,0.082325,0.089684,0.097408,0.105909,0.115273,0.125596,0.136986,0.149561,0.163458,0.178827,0.195837,0.214679,0.235567,0.258743,0.283548,0.310015,0.338169,0.368022,0.399577,0.432822,0.467732,0.504269,0.542379,0.581991,0.623018,0.663901,0.704243,0.743627,0.781631,0.817824,0.851783,0.883096,0.911374,0.936255,0.957414,0.974571,0.987495,0.99601
1,29071.71,28175.62,27292.68,26430.74,25620.27,24842.05,24092.65,23349.38,22616.89,21898.24,21205.19,20526.70,19863.68,19216.71,18599.14,18027.90,17474.51,16939.19,16409.44,15893.67,15371.14,14841.79,14280.75,13697.72,13106.87,12508.04,11887.98,11209.73,10523.53,9843.33,9203.51,8578.35,8036.70,7509.07,7025.92,6548.24,6074.91,5604.87,5137.80,4673.34,4199.58,3729.24,3274.02,2836.71,2424.60,2033.67,1673.33,1343.34,1045.51,782.25,556.24,367.99,217.99,106.28,33.68
1.1,10.00,11.48,13.15,15.01,17.05,19.28,21.68,24.33,27.26,30.49,34.03,37.89,42.08,46.62,51.51,56.76,62.37,68.34,74.66,81.32,88.68,96.82,105.84,115.84,126.94,139.28,153.00,168.28,185.33,204.35,225.61,248.55,273.21,299.66,327.93,358.06,390.06,423.96,459.73,497.36,536.81,578.01,619.42,660.60,701.12,740.49,778.24,813.88,846.92,876.91,903.42,926.04,944.45,958.34,967.51
2,30092.65,29040.00,27993.06,26961.39,26092.23,25254.90,24458.15,23671.50,22894.52,22134.39,21422.67,20725.39,20043.50,19377.62,18743.47,18160.76,17596.01,17049.50,16513.32,15992.99,15465.81,14931.72,14370.41,13790.03,13201.88,12605.80,11987.33,11308.14,10620.92,9934.82,9271.05,8623.13,8058.97,7509.75,7017.06,6530.52,6049.40,5578.49,5113.11,4650.40,4179.93,3712.91,3260.66,2826.28,2416.51,2028.26,1669.95,1341.59,1045.18,782.69,556.98,368.71,218.55,106.62,33.82
2.2,10.00,11.48,13.15,15.01,17.05,19.28,21.68,24.33,27.27,30.50,34.03,37.89,42.09,46.63,51.52,56.78,62.39,68.36,74.68,81.35,88.71,96.86,105.89,115.89,127.00,139.35,153.09,168.38,185.44,204.49,225.78,248.74,273.43,299.91,328.22,358.39,390.44,424.39,460.22,497.91,537.43,578.70,620.18,661.45,702.04,741.49,779.31,815.02,848.14,878.19,904.76,927.43,945.87,959.80,968.99
3,29859.51,28913.33,27978.92,27064.41,26158.76,25284.20,24470.47,23675.57,22890.00,22123.74,21421.28,20733.44,20061.16,19405.01,18779.01,18200.12,17639.21,17096.55,16559.00,16035.61,15505.30,14968.00,14410.16,13837.40,13257.02,12668.81,12054.69,11369.85,10676.93,9985.92,9318.31,8666.65,8109.55,7566.79,7078.03,6594.55,6115.71,5642.45,5172.89,4705.85,4228.99,3755.94,3297.52,2857.52,2442.38,2049.07,1686.39,1354.23,1054.80,790.12,562.50,372.60,220.99,108.12,34.38
3.3,10.00,11.48,13.15,15.01,17.06,19.28,21.68,24.34,27.27,30.50,34.04,37.90,42.10,46.65,51.54,56.80,62.42,68.39,74.72,81.39,88.76,96.92,105.95,115.97,127.10,139.46,153.21,168.53,185.61,204.69,226.01,249.01,273.75,300.27,328.64,358.87,390.99,425.01,460.92,498.70,538.31,579.70,621.29,662.66,703.36,742.92,780.86,816.67,849.89,880.04,906.68,929.43,947.93,961.90,971.12
4,30477.36,29506.07,28546.37,27606.44,26632.80,25689.57,24822.58,23979.76,23144.95,22332.92,21610.18,20901.86,20208.93,19532.04,18888.26,18297.97,17725.77,17171.94,16622.77,16087.87,15545.71,14996.24,14428.74,13847.78,13259.04,12662.35,12041.49,11358.36,10667.13,9983.12,9337.59,8706.70,8171.68,7648.74,7167.64,6690.58,6216.78,5739.92,5263.88,4790.14,4303.62,3821.35,3354.09,2906.03,2483.35,2083.88,1715.37,1378.09,1074.18,805.40,573.85,380.36,225.71,110.47,35.14
4.4,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.91,42.11,46.66,51.56,56.82,62.44,68.41,74.75,81.42,88.80,96.96,106.00,116.03,127.17,139.54,153.31,168.64,185.74,204.84,226.19,249.22,273.99,300.55,328.96,359.24,391.41,425.49,461.46,499.31,539.00,580.46,622.13,663.59,704.38,744.03,782.05,817.95,851.24,881.46,908.17,930.97,949.51,963.52,972.76
5,31578.42,30484.66,29397.40,28326.16,27289.43,26282.98,25356.06,24453.02,23556.50,22686.47,21933.88,21195.48,20472.32,19765.12,19094.58,18485.47,17894.66,17322.47,16758.23,16209.57,15653.30,15089.37,14504.35,13904.03,13295.57,12678.86,12041.10,11352.12,10655.06,9972.03,9348.39,8738.12,8222.66,7717.45,7242.99,6771.48,6302.07,5823.96,5344.53,4866.84,4374.45,3885.94,3412.25,2957.67,2528.58,2123.24,1748.86,1406.17,1097.14,823.29,586.97,389.22,231.03,113.10,35.98
5.5,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.91,42.11,46.66,51.56,56.82,62.44,68.41,74.75,81.42,88.80,96.96,106.00,116.03,127.16,139.54,153.30,168.64,185.74,204.84,226.18,249.21,273.98,300.55,328.95,359.23,391.40,425.48,461.45,499.30,538.99,580.45,622.12,663.58,704.37,744.02,782.04,817.93,851.22,881.44,908.15,930.95,949.49,963.50,972.74
6,32258.77,31098.54,29942.15,28799.93,27749.29,26729.46,25776.14,24839.96,23909.65,23006.99,22229.52,21466.06,20717.74,19985.32,19292.24,18665.70,18057.63,17468.41,16897.17,16345.03,15785.24,15217.74,14630.13,14027.97,13417.65,12799.05,12161.58,11482.16,10794.54,10118.85,9492.81,8879.93,8369.99,7868.65,7392.58,6918.77,6446.25,5959.10,5469.28,4981.01,4476.32,3976.03,3490.71,3025.40,2586.06,2171.36,1788.39,1437.92,1121.96,842.05,600.39,398.10,236.26,115.63,36.77
6.6,10.00,11.48,13.15,15.01,17.06,19.29,21.69,24.34,27.28,30.51,34.06,37.92,42.12,46.67,51.58,56.84,62.47,68.45,74.79,81.47,88.85,97.03,106.08,116.12,127.27,139.66,153.45,168.81,185.94,205.07,226.46,249.53,274.36,300.98,329.45,359.80,392.05,426.21,462.28,500.24,540.04,581.63,623.43,665.02,705.94,745.72,783.87,819.89,853.30,883.62,910.43,933.31,951.93,965.98,975.26
7,32355.99,31185.48,30018.57,28865.68,27820.65,26806.77,25854.04,24916.17,23984.29,23078.08,22287.81,21511.39,20749.97,20004.35,19297.71,18658.37,18037.51,17435.59,16862.43,16312.08,15754.13,15188.53,14616.23,14036.73,13449.53,12854.42,12237.23,11563.11,10880.76,10209.30,9590.19,8983.63,8478.66,7982.75,7502.78,7024.78,6547.75,6052.81,5553.44,5056.07,4543.51,4034.99,3542.67,3070.46,2624.92,2203.97,1815.23,1459.51,1138.77,854.46,609.16,403.85,239.62,117.26,37.29
7.7,10.00,11.48,13.15,15.01,17.06,19.28,21.68,24.34,27.27,30.50,34.04,37.90,42.10,46.65,51.54,56.80,62.42,68.39,74.72,81.39,88.76,96.92,105.96,115.98,127.10,139.47,153.22,168.54,185.63,204.70,226.03,249.03,273.77,300.31,328.67,358.91,391.04,425.06,460.98,498.77,538.39,579.78,621.38,662.76,703.48,743.05,780.99,816.82,850.04,880.20,906.85,929.60,948.11,962.08,971.30
8,31964.87,30821.68,29682.78,28558.38,27537.00,26546.72,25619.13,24707.80,23803.10,22923.71,22154.07,21398.53,20658.19,19933.81,19246.47,18621.20,18014.37,17426.34,16854.40,16300.91,15739.70,15170.73,14595.93,14014.35,13425.01,12827.72,12205.12,11517.34,10821.35,10143.01,9534.14,8937.36,8441.58,7953.35,7476.83,7002.11,6528.18,6035.90,5539.46,5044.77,4533.73,4026.96,3535.84,3064.87,2620.21,2200.01,1811.97,1456.64,1136.23,852.40,607.60,402.81,239.04,117.00,37.22
8.8,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.91,42.11,46.66,51.56,56.82,62.44,68.42,74.76,81.43,88.81,96.98,106.03,116.06,127.19,139.57,153.35,168.69,185.80,204.90,226.26,249.31,274.09,300.67,329.10,359.39,391.59,425.69,461.69,499.57,539.29,580.79,622.49,663.99,704.82,744.50,782.56,818.49,851.81,882.06,908.80,931.62,950.18,964.20,973.46
9,31087.22,30058.70,29039.54,28038.56,27037.39,26066.77,25172.68,24302.08,23438.95,22599.26,21854.15,21123.27,20407.66,19708.01,19044.39,18440.27,17854.37,17287.03,16721.26,16169.06,15609.10,15041.34,14464.30,13878.58,13284.97,12683.34,12057.36,11370.88,10676.27,10001.48,9400.13,8810.75,8314.65,7826.06,7353.17,6882.46,6412.97,5928.36,5440.80,4954.96,4452.75,3954.96,3472.25,3009.43,2572.42,2159.52,1778.34,1429.10,1114.23,835.76,595.74,395.12,234.62,114.91,36.57
9.9,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.92,42.12,46.67,51.57,56.84,62.46,68.44,74.78,81.46,88.84,97.01,106.06,116.10,127.24,139.63,153.41,168.77,185.89,205.01,226.39,249.45,274.26,300.87,329.32,359.65,391.88,426.02,462.07,499.99,539.76,581.32,623.09,664.64,705.53,745.27,783.39,819.37,852.75,883.05,909.83,932.69,951.29,965.33,974.60
10,29930.79,29023.67,28130.84,27259.70,26300.01,25370.39,24528.46,23716.66,22913.58,22130.13,21414.17,20712.49,20026.05,19355.50,18720.43,18143.95,17585.39,17045.01,16499.24,15964.36,15422.15,14872.55,14301.77,13715.84,13122.00,12520.11,11896.91,11222.29,10539.66,9874.54,9277.25,8692.00,8191.66,7699.77,7228.44,6759.85,6293.13,5815.30,5335.70,4857.98,4365.15,3876.64,3402.92,2948.62,2519.88,2114.69,1740.86,1398.59,1090.17,817.51,582.62,386.38,229.42,112.36,35.76
10.10,10.00,11.48,13.15,15.01,17.06,19.29,21.68,24.34,27.28,30.51,34.05,37.92,42.12,46.66,51.57,56.83,62.45,68.43,74.77,81.44,88.82,96.99,106.04,116.07,127.21,139.59,153.37,168.72,185.83,204.94,226.31,249.36,274.15,300.74,329.18,359.49,391.70,425.81,461.83,499.72,539.46,580.98,622.71,664.23,705.07,744.78,782.86,818.81,852.15,882.42,909.17,932.01,950.59,964.61,973.87
11,29733.98,28759.78,27795.37,26849.35,25983.11,25148.54,24357.41,23577.83,22808.03,22054.30,21343.93,20647.91,19967.20,19302.41,18672.84,18102.78,17550.62,17016.59,16478.85,15952.00,15418.08,14877.04,14312.30,13730.50,13140.89,12543.32,11923.23,11241.90,10552.60,9872.92,9244.25,8629.49,8103.72,7590.29,7112.94,6639.68,6169.64,5697.09,5225.17,4755.43,4273.77,3795.58,3332.58,2887.96,2468.73,2071.95,1705.82,1370.50,1067.95,800.28,569.90,377.63,224.07,109.55,34.81
11.11,10.00,11.48,13.15,15.01,17.05,19.28,21.68,24.33,27.27,30.50,34.03,37.89,42.09,46.63,51.52,56.78,62.39,68.36,74.68,81.34,88.71,96.86,105.88,115.89,127.00,139.35,153.08,168.38,185.44,204.48,225.77,248.73,273.42,299.90,328.21,358.38,390.43,424.37,460.20,497.89,537.41,578.68,620.16,661.42,702.01,741.46,779.28,814.99,848.10,878.16,904.72,927.39,945.83,959.76,968.95
12,29399.70,28423.66,27456.43,26506.73,25658.18,24841.04,24074.30,23323.01,22582.13,21856.09,21163.06,20484.50,19821.32,19174.11,18559.29,17997.00,17452.49,16925.97,16400.38,15887.29,15367.51,14840.98,14284.53,13707.79,13123.32,12530.96,11913.31,11226.76,10532.22,9845.46,9201.08,8571.59,8038.15,7517.66,7042.57,6571.66,6104.21,5636.44,5170.09,4705.82,4229.96,3757.61,3299.52,2859.47,2444.32,2051.32,1688.72,1356.30,1056.39,790.71,562.48,372.23,220.59,107.87,34.29
12.12,10.00,11.48,13.15,15.01,17.06,19.28,21.68,24.34,27.27,30.50,34.04,37.90,42.10,46.64,51.54,56.80,62.41,68.39,74.71,81.38,88.75,96.91,105.94,115.96,127.08,139.44,153.19,168.50,185.58,204.65,225.96,248.96,273.69,300.21,328.56,358.78,390.89,424.89,460.79,498.55,538.15,579.51,621.08,662.43,703.11,742.66,780.57,816.37,849.56,879.69,906.32,929.06,947.55,961.51,970.72
